Entity,Year,Male_Prevalence,Female_Prevalence
Kenya,2017,2.900203667,4.11318767
Kenya,2018,2.904978182,4.107229035
Kenya,2019,2.913303396,4.088743245
Kiribati,2016,3.149686241,5.115829649
Kiribati,2017,3.134708702,5.120407037
Kiribati,2018,3.14290191,5.128534832
Kiribati,2019,3.165375792,5.142351326
Kuwait,2016,3.770844475,6.151954411
Kuwait,2017,3.764908358,6.148980461
Kuwait,2018,3.767768676,6.171796603
Kuwait,2019,3.775164161,6.220541651
Kyrgyzstan,2016,1.667277963,2.63370964
Kyrgyzstan,2017,1.666547931,2.633266586
Kyrgyzstan,2018,1.668147405,2.636378833
Kyrgyzstan,2019,1.670986875,2.642491716
Laos,2016,3.515366784,5.785121892
Laos,2017,3.522293778,5.816699534
Laos,2018,3.55428635,5.835938027
Laos,2019,3.612117268,5.853625342
Latin America & Caribbean (WB),2016,4.08712872,7.204175329
Latin America & Caribbean (WB),2017,4.114223402,7.247313
Latin America & Caribbean (WB),2018,4.118629795,7.258233494
Latin America & Caribbean (WB),2019,4.119580141,7.269363448
Latvia,2016,3.065331774,4.932994032
Latvia,2017,3.064000575,4.918220617
Latvia,2018,3.058040225,4.919164623
Latvia,2019,3.045835016,4.927680968
Lebanon,2016,5.126950801,8.568490678
Lebanon,2017,5.112728948,8.541681612
Lebanon,2018,4.974460201,8.369387961
Lebanon,2019,4.686101305,8.020025344
Lesotho,2016,3.166189866,4.215573757
Lesotho,2017,3.169811538,4.234937617
Lesotho,2018,3.169263879,4.214910022
Lesotho,2019,3.165295797,4.161306503
Liberia,2016,3.0575464,4.024575683
Liberia,2017,3.057575736,4.037949705
Liberia,2018,3.062448511,4.036732883
Liberia,2019,3.071200407,4.02657617
Libya,2016,4.194278896,6.907380566
Libya,2017,4.192304292,6.902081828
Libya,2018,4.191933567,6.923248129
Libya,2019,4.19163126,6.968878344
Lithuania,2016,3.433006869,5.594423074
Lithuania,2017,3.433252688,5.581802739
Lithuania,2018,3.437094941,5.570324131
Lithuania,2019,3.449340184,5.559721563
Luxembourg,2016,4.327414155,7.275234643
Luxembourg,2017,4.317945273,7.243218798
Luxembourg,2018,4.315773628,7.245000577
Luxembourg,2019,4.315469715,7.260848532
Madagascar,2016,3.309701813,4.766688141
Madagascar,2017,3.327188829,4.798705206
Madagascar,2018,3.336920831,4.792066032
Madagascar,2019,3.345394654,4.763390691
Malawi,2016,3.206550817,4.594563937
Malawi,2017,3.217004761,4.616848441
Malawi,2018,3.224892829,4.610964815
Malawi,2019,3.234173573,4.587811997
Malaysia,2016,3.592029841,6.208262391
Malaysia,2017,3.59056692,6.225466256
Malaysia,2018,3.592076128,6.224535131
Malaysia,2019,3.59500523,6.213469847
Maldives,2016,2.849631313,4.989964521
Maldives,2017,2.845023045,5.00776778
Maldives,2018,2.851370454,5.013213135
Maldives,2019,2.865724357,5.015046623
Mali,2016,2.39479062,3.109007711
Mali,2017,2.404726149,3.130738847
